iter	Passed	Remaining
431	1653	2173
432	1656	2169
433	1660	2165
434	1663	2161
435	1667	2156
436	1670	2152
437	1674	2148
438	1677	2144
439	1681	2139
440	1684	2135
441	1688	2131
442	1691	2127
443	1695	2123
444	1698	2118
445	1702	2114
446	1705	2110
447	1709	2105
448	1712	2101
449	1716	2097
450	1720	2093
451	1723	2089
452	1727	2085
453	1730	2081
454	1733	2076
455	1737	2072
456	1740	2068
457	1744	2064
458	1748	2060
459	1751	2056
460	1754	2051
461	1758	2047
462	1761	2043
463	1765	2039
464	1770	2036
465	1775	2034
466	1779	2030
467	1783	2027
468	1787	2024
469	1791	2020
470	1795	2016
471	1798	2011
472	1801	2007
473	1805	2003
474	1808	1999
475	1812	1995
476	1816	1991
477	1821	1988
478	1824	1984
479	1828	1980
480	1831	1976
481	1835	1972
482	1838	1967
483	1841	1963
484	1845	1959
485	1848	1955
486	1852	1951
487	1856	1947
488	1859	1943
489	1863	1939
490	1866	1934
491	1870	1931
492	1873	1926
493	1877	1922
494	1880	1918
495	1884	1914
496	1887	1910
497	1890	1906
498	1894	1902
499	1897	1897
500	1901	1893
501	1904	1889
502	1908	1885
503	1911	1881
504	1915	1877
505	1918	1873
506	1922	1869
507	1925	1865
508	1929	1860
509	1932	1856
510	1935	1852
511	1943	1852
512	1947	1848
513	1952	1845
514	1956	1842
515	1960	1838
516	1964	1835
517	1968	1832
518	1973	1828
519	1977	1825
520	1981	1821
521	1985	1818
522	1990	1815
523	1994	1811
524	1997	1807
525	2001	1803
526	2004	1799
527	2008	1795
528	2012	1791
529	2015	1787
530	2018	1783
531	2022	1779
532	2025	1774
533	2029	1770
534	2032	1766
535	2036	1762
536	2039	1758
537	2043	1754
538	2046	1750
539	2050	1746
540	2053	1742
541	2057	1738
542	2060	1734
543	2064	1730
544	2067	1726
545	2070	1721
546	2074	1717
547	2077	1713
548	2081	1709
549	2084	1705
550	2088	1701
551	2091	1697
552	2095	1693
553	2098	1689
554	2102	1685
555	2105	1681
556	2108	1677
557	2112	1673
558	2115	1669
559	2119	1665
560	2122	1660
561	2125	1656
562	2129	1652
563	2132	1648
564	2136	1645
565	2140	1640
566	2143	1636
567	2147	1633
568	2151	1629
569	2154	1625
570	2158	1621
571	2161	1617
572	2165	1613
573	2168	1609
574	2172	1605
575	2175	1601
576	2178	1597
577	2182	1593
578	2185	1589
579	2189	1585
580	2192	1581
581	2195	1577
582	2199	1573
583	2203	1569
584	2206	1565
585	2210	1561
